"Website","Order ID","Order Date","Purchase Order Number","Currency","Unit Price","Unit Price Tax","Shipping Charge","Total Discounts","Total Owed","Shipment Item Subtotal","Shipment Item Subtotal Tax","ASIN","Product Condition","Quantity","Payment Instrument Type","Order Status","Shipment Status","Ship Date","Shipping Option","Shipping Address","Billing Address","Carrier Name & Tracking Number","Product Name","Gift Message","Gift Sender Name","Gift Recipient Contact Details","Item Serial Number"
"Amazon.com","DEMO-2001001-0000001","2025-04-30T10:00:00Z","Not Applicable","USD","32.99","2.94","0","0","35.93","32.99","2.94","B08XQXZKNL","New","1","Visa - 1234","Closed","Shipped","2025-05-01T08:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456789)","Yeti Rambler 26 oz Bottle with Chug Cap - Black","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001002-0000002","2025-04-25T14:30:00Z","Not Applicable","USD","19.99","1.78","0","0","21.77","19.99","1.78","B07H92LL2R","New","1","Visa - 1234","Closed","Shipped","2025-04-26T09:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456790)","12 Rules for Life: An Antidote to Chaos - Jordan B. Peterson","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001003-0000003","2025-04-20T09:15:00Z","Not Applicable","USD","129.99","11.57","0","0","141.56","129.99","11.57","B09Y98VFXK","New","1","Visa - 1234","Closed","Shipped","2025-04-21T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456791)","Sonos Roam - Portable Bluetooth Speaker - Black","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001004-0000004","2025-04-15T15:45:00Z","Not Applicable","USD","10.99","0.98","0","0","11.97","10.99","0.98","B00Y16QCIY","New","2","Visa - 1234","Closed","Shipped","2025-04-16T08:30:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456792)","Tide Pods Laundry Detergent, Spring Meadow, 42 Count","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001005-0000005","2025-04-10T11:00:00Z","Not Applicable","USD","59.99","5.34","0","0","65.33","59.99","5.34","B0B8Z8GQGK","New","1","Visa - 1234","Closed","Shipped","2025-04-11T09:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456793)","eufy Smart Lock Touch - Fingerprint Scanner Entry Door Lock","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001006-0000006","2025-04-05T10:30:00Z","Not Applicable","USD","14.99","1.33","0","0","16.32","14.99","1.33","B08H6XNWRS","New","1","Visa - 1234","Closed","Shipped","2025-04-06T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456794)","The Midnight Library: A Novel - Matt Haig","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001007-0000007","2025-03-30T14:00:00Z","Not Applicable","USD","74.99","6.68","0","0","81.67","74.99","6.68","B08KG7PM6V","New","1","Visa - 1234","Closed","Shipped","2025-03-31T08:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456795)","Oral-B iO Series 5 Electric Toothbrush - Matte Black","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001008-0000008","2025-03-25T09:45:00Z","Not Applicable","USD","5.99","0.53","0","0","6.52","5.99","0.53","B00AFQJJY4","New","1","Visa - 1234","Closed","Shipped","2025-03-26T09:30:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456796)","Gorilla Super Glue Gel, 15 Gram","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001009-0000009","2025-03-20T15:30:00Z","Not Applicable","USD","249.99","22.25","0","0","272.24","249.99","22.25","B0BZYBH49S","New","1","Visa - 1234","Closed","Shipped","2025-03-21T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456797)","Meta Quest 3 128GB - Breakthrough Mixed Reality Headset","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001010-0000010","2025-03-15T11:15:00Z","Not Applicable","USD","21.99","1.96","0","0","23.95","21.99","1.96","B07N4WCR3B","New","1","Visa - 1234","Closed","Shipped","2025-03-16T08:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456798)","Project Hail Mary: A Novel - Andy Weir","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001011-0000011","2025-03-10T10:00:00Z","Not Applicable","USD","44.99","4.00","0","0","48.99","44.99","4.00","B09G3P6VCG","New","1","Visa - 1234","Closed","Shipped","2025-03-11T09:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456799)","Anova Culinary Nano Sous Vide Precision Cooker","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001012-0000012","2025-03-05T14:45:00Z","Not Applicable","USD","8.99","0.80","0","0","9.79","8.99","0.80","B0001LQXPI","New","2","Visa - 1234","Closed","Shipped","2025-03-06T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456800)","3M Command Hooks, Large, White, 6 Hooks","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001013-0000013","2025-02-29T09:30:00Z","Not Applicable","USD","159.99","14.24","0","0","174.23","159.99","14.24","B0BHTF8HYR","New","1","Visa - 1234","Closed","Shipped","2025-03-01T08:30:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456801)","Marshall Emberton II Portable Bluetooth Speaker - Black","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001014-0000014","2025-02-25T15:00:00Z","Not Applicable","USD","17.99","1.60","0","0","19.59","17.99","1.60","B08V5GBHWY","New","1","Visa - 1234","Closed","Shipped","2025-02-26T09:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456802)","A Court of Thorns and Roses - Sarah J. Maas","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001015-0000015","2025-02-20T11:30:00Z","Not Applicable","USD","89.99","8.01","0","0","98.00","89.99","8.01","B08F9FMPRP","New","1","Visa - 1234","Closed","Shipped","2025-02-21T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456803)","Philips Hue White and Color Ambiance Smart Bulb Starter Kit","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001016-0000016","2025-02-15T10:15:00Z","Not Applicable","USD","6.99","0.62","0","0","7.61","6.99","0.62","B000BQS1W4","New","1","Visa - 1234","Closed","Shipped","2025-02-16T08:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456804)","Elmers Glue-All Multi-Purpose Liquid Glue, 7.625 oz","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001017-0000017","2025-02-10T14:30:00Z","Not Applicable","USD","199.99","17.80","0","0","217.79","199.99","17.80","B09V1KJ5HR","New","1","Visa - 1234","Closed","Shipped","2025-02-11T09:30:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456805)","Garmin Venu Sq 2 Music GPS Smartwatch - Slate","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001018-0000018","2025-02-05T09:00:00Z","Not Applicable","USD","12.49","1.11","0","0","13.60","12.49","1.11","B07XRXMK2C","New","1","Visa - 1234","Closed","Shipped","2025-02-06T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456806)","Where the Crawdads Sing - Delia Owens","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001019-0000019","2025-01-30T15:45:00Z","Not Applicable","USD","54.99","4.89","0","0","59.88","54.99","4.89","B0CBZK4N9J","New","1","Visa - 1234","Closed","Shipped","2025-01-31T08:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456807)","Razer BlackWidow V4 X Mechanical Gaming Keyboard","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001020-0000020","2025-01-25T11:00:00Z","Not Applicable","USD","9.99","0.89","0","0","10.88","9.99","0.89","B07GL7V3MG","New","1","Visa - 1234","Closed","Shipped","2025-01-26T09:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456808)","Cottonelle Ultra CleanCare Toilet Paper, 12 Mega Rolls","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001021-0000021","2025-01-20T10:30:00Z","Not Applicable","USD","299.99","26.70","0","0","326.69","299.99","26.70","B0BTSY2VD4","New","1","Visa - 1234","Closed","Shipped","2025-01-21T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456809)","ASUS ROG Ally Handheld Gaming Console - White","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001022-0000022","2025-01-15T14:15:00Z","Not Applicable","USD","16.99","1.51","0","0","18.50","16.99","1.51","B08GJYSH1R","New","1","Visa - 1234","Closed","Shipped","2025-01-16T08:30:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456810)","Lessons in Chemistry: A Novel - Bonnie Garmus","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001023-0000023","2025-01-10T09:45:00Z","Not Applicable","USD","34.99","3.11","0","0","38.10","34.99","3.11","B07RGWHK9C","New","1","Visa - 1234","Closed","Shipped","2025-01-11T09:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456811)","Cuisinart Convection Toaster Oven Airfryer - Stainless Steel","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001024-0000024","2025-01-05T15:30:00Z","Not Applicable","USD","7.49","0.67","0","0","8.16","7.49","0.67","B00006IENS","New","2","Visa - 1234","Closed","Shipped","2025-01-06T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456812)","Scotch Magic Tape, 6 Rolls, 3/4 x 1000 Inches","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001025-0000025","2025-01-01T11:15:00Z","Not Applicable","USD","119.99","10.68","0","0","130.67","119.99","10.68","B0BN73LZ5M","New","1","Visa - 1234","Closed","Shipped","2025-01-02T08:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456813)","Blink Outdoor 4 Smart Security Camera, 3 Camera System","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001026-0000026","2025-12-22T10:00:00Z","Not Applicable","USD","22.99","2.05","0","0","25.04","22.99","2.05","B0BHK6QHJF","New","1","Visa - 1234","Closed","Shipped","2025-12-23T09:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456814)","Fourth Wing (The Empyrean Book 1) - Rebecca Yarros","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001027-0000027","2025-12-23T14:30:00Z","Not Applicable","USD","64.99","5.78","0","0","70.77","64.99","5.78","B09G9JNBKK","New","1","Visa - 1234","Closed","Shipped","2025-12-24T08:30:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456815)","Nespresso Vertuo Pop+ Coffee and Espresso Maker - Mint","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001028-0000028","2025-12-24T09:15:00Z","Not Applicable","USD","11.99","1.07","0","0","13.06","11.99","1.07","B0813QBWZ7","New","1","Visa - 1234","Closed","Shipped","2025-12-25T10:00:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456816)","Charmin Ultra Soft Toilet Paper, 18 Super Mega Rolls","Not Available","Not Available","Not Available","Not Available"
"Amazon.com","DEMO-2001029-0000029","2025-12-25T15:00:00Z","Not Applicable","USD","179.99","16.02","0","0","196.01","179.99","16.02","B0C5N5WCLT","New","1","Visa - 1234","Closed","Shipped","2025-12-26T09:30:00Z","next-1dc","Demo User 123 Main Street Anytown NY 12345 United States","Demo User 123 Main Street Anytown NY 12345 United States","AMZN_US(TBA223456817)","Oura Ring Gen3 Heritage - Silver","Not Available","Not Available","Not Available","Not Available"
